relative_second,timestamp_utc,target_units,allocated_units,ready_units,pending_actions,allocated_vcpu,allocated_memory_gib,scale_direction,collector_error
0.0002936970013251994,2026-08-25T15:55:00.284380+00:00,1,1,1,False,2.0,2.0,,
5.001537896998343,2026-08-25T15:55:04.974745+00:00,1,1,1,False,2.0,2.0,,
10.002158866998798,2026-08-25T15:55:10.041656+00:00,1,1,1,False,2.0,2.0,,
15.002913750999141,2026-08-25T15:55:15.105197+00:00,1,1,1,False,2.0,2.0,,
20.00341584999842,2026-08-25T15:55:20.099598+00:00,1,1,1,False,2.0,2.0,,
25.003791574999923,2026-08-25T15:55:25.022341+00:00,1,1,1,False,2.0,2.0,,
30.004608245999407,2026-08-25T15:55:30.060596+00:00,1,1,1,False,2.0,2.0,,
35.00496568200106,2026-08-25T15:55:35.032315+00:00,1,1,1,False,2.0,2.0,,
40.00602355099909,2026-08-25T15:55:40.041508+00:00,1,1,1,False,2.0,2.0,,
45.00651037100033,2026-08-25T15:55:44.973060+00:00,1,1,1,False,2.0,2.0,,
50.00759414799904,2026-08-25T15:55:50.099447+00:00,1,1,1,False,2.0,2.0,,
55.00832910399913,2026-08-25T15:55:55.062860+00:00,1,1,1,False,2.0,2.0,,
60.009466446997976,2026-08-25T15:56:00.145438+00:00,1,1,1,False,2.0,2.0,,
65.01003893599773,2026-08-25T15:56:05.012309+00:00,1,1,1,False,2.0,2.0,,
70.01040628699775,2026-08-25T15:56:10.058907+00:00,1,1,1,False,2.0,2.0,,
75.01180865800052,2026-08-25T15:56:15.036416+00:00,1,1,1,False,2.0,2.0,,
80.01230527100051,2026-08-25T15:56:20.039250+00:00,1,1,1,False,2.0,2.0,,
85.01298815799964,2026-08-25T15:56:25.111286+00:00,1,1,1,False,2.0,2.0,,
90.0137704230001,2026-08-25T15:56:30.113141+00:00,1,1,1,False,2.0,2.0,,
95.01601432800089,2026-08-25T15:56:35.107191+00:00,1,1,1,False,2.0,2.0,,
100.0168963340002,2026-08-25T15:56:40.082351+00:00,1,1,1,False,2.0,2.0,,
105.01792819500042,2026-08-25T15:56:45.123393+00:00,1,1,1,False,2.0,2.0,,
110.01851683700079,2026-08-25T15:56:50.092845+00:00,1,1,1,False,2.0,2.0,,
115.01959890199942,2026-08-25T15:56:55.165347+00:00,1,1,1,False,2.0,2.0,,
120.02053543500006,2026-08-25T15:57:00.085546+00:00,1,1,1,False,2.0,2.0,,
125.02214068399917,2026-08-25T15:57:05.051371+00:00,1,1,1,False,2.0,2.0,,
130.02249100300105,2026-08-25T15:57:09.995486+00:00,1,1,1,False,2.0,2.0,,
135.023641243999,2026-08-25T15:57:15.043814+00:00,1,1,1,False,2.0,2.0,,
140.0240852220013,2026-08-25T15:57:20.032732+00:00,1,1,1,False,2.0,2.0,,
145.02494680299787,2026-08-25T15:57:25.110858+00:00,1,1,1,False,2.0,2.0,,
150.02552030399966,2026-08-25T15:57:30.147912+00:00,1,1,1,False,2.0,2.0,,
155.02667857900087,2026-08-25T15:57:34.982759+00:00,1,1,1,False,2.0,2.0,,
160.02717762799875,2026-08-25T15:57:40.056115+00:00,1,1,1,False,2.0,2.0,,
165.02806717299973,2026-08-25T15:57:45.177466+00:00,1,1,1,False,2.0,2.0,,
170.02921225599857,2026-08-25T15:57:50.074407+00:00,1,1,1,False,2.0,2.0,,
175.03029856099965,2026-08-25T15:57:55.050938+00:00,1,1,1,False,2.0,2.0,,
180.03131199799827,2026-08-25T15:58:00.041910+00:00,1,1,1,False,2.0,2.0,,
185.03285580399825,2026-08-25T15:58:05.125490+00:00,1,1,1,False,2.0,2.0,,
190.03320264300055,2026-08-25T15:58:10.126849+00:00,1,1,1,False,2.0,2.0,,
195.0339434259986,2026-08-25T15:58:15.114695+00:00,1,1,1,False,2.0,2.0,,
200.03404122899883,2026-08-25T15:58:20.170562+00:00,1,1,1,False,2.0,2.0,,
205.03514277999784,2026-08-25T15:58:25.106303+00:00,1,1,1,False,2.0,2.0,,
210.03596776400082,2026-08-25T15:58:30.164755+00:00,1,1,1,False,2.0,2.0,,
215.03676472799998,2026-08-25T15:58:35.121104+00:00,1,1,1,False,2.0,2.0,,
220.03751472400108,2026-08-25T15:58:40.055552+00:00,1,1,1,False,2.0,2.0,,
225.03782300599778,2026-08-25T15:58:45.025220+00:00,1,1,1,False,2.0,2.0,,
230.03877770300096,2026-08-25T15:58:50.290311+00:00,1,1,1,False,2.0,2.0,,
235.03964918099882,2026-08-25T15:58:55.075134+00:00,1,1,1,False,2.0,2.0,,
240.04060765900067,2026-08-25T15:59:00.200220+00:00,1,1,1,False,2.0,2.0,,
245.0415810980012,2026-08-25T15:59:05.143146+00:00,1,1,1,False,2.0,2.0,,
250.0424328170011,2026-08-25T15:59:10.022854+00:00,1,1,1,False,2.0,2.0,,
255.04297655299888,2026-08-25T15:59:15.067681+00:00,1,1,1,False,2.0,2.0,,
260.043431140999,2026-08-25T15:59:20.168494+00:00,1,1,1,False,2.0,2.0,,
265.04407475399785,2026-08-25T15:59:25.199113+00:00,1,1,1,False,2.0,2.0,,
270.0443287620001,2026-08-25T15:59:30.099999+00:00,1,1,1,False,2.0,2.0,,
275.0454137790002,2026-08-25T15:59:35.165263+00:00,1,1,1,False,2.0,2.0,,
280.04650020199915,2026-08-25T15:59:40.135393+00:00,1,1,1,False,2.0,2.0,,
285.0470900219989,2026-08-25T15:59:45.035067+00:00,1,1,1,False,2.0,2.0,,
290.0480554809983,2026-08-25T15:59:50.076720+00:00,1,1,1,False,2.0,2.0,,
295.0485781460011,2026-08-25T15:59:55.153003+00:00,1,1,1,False,2.0,2.0,,
300.0496228789998,2026-08-25T16:00:00.089211+00:00,1,1,1,False,2.0,2.0,,
305.05029376899984,2026-08-25T16:00:05.412876+00:00,1,1,1,False,2.0,2.0,,
310.05155873499825,2026-08-25T16:00:10.293218+00:00,1,1,1,False,2.0,2.0,,
315.0527733349991,2026-08-25T16:00:15.363433+00:00,1,1,1,False,2.0,2.0,,
320.0535445719979,2026-08-25T16:00:20.403605+00:00,1,1,1,False,2.0,2.0,,
325.05396819499947,2026-08-25T16:00:25.361349+00:00,1,1,1,False,2.0,2.0,,
330.0557857470012,2026-08-25T16:00:30.454486+00:00,1,1,1,False,2.0,2.0,,
335.057852973001,2026-08-25T16:00:35.169198+00:00,1,1,1,False,2.0,2.0,,
340.0589908039983,2026-08-25T16:00:40.272864+00:00,1,1,1,False,2.0,2.0,,
345.0598285769993,2026-08-25T16:00:45.378247+00:00,1,1,1,False,2.0,2.0,,
350.0607523340004,2026-08-25T16:00:50.275823+00:00,1,1,1,False,2.0,2.0,,
355.06165886599774,2026-08-25T16:00:55.342278+00:00,1,1,1,False,2.0,2.0,,
360.0623062300001,2026-08-25T16:01:00.421077+00:00,1,1,1,False,2.0,2.0,,
365.0636975009984,2026-08-25T16:01:05.625815+00:00,1,1,1,False,2.0,2.0,,
370.0642619200007,2026-08-25T16:01:10.654700+00:00,1,1,1,False,2.0,2.0,,
375.06504242200026,2026-08-25T16:01:15.586765+00:00,1,1,1,False,2.0,2.0,,
