second,scenario,phase,offered_rps
0,daily_normal,night,7
1,daily_normal,night,7
2,daily_normal,night,7
3,daily_normal,night,7
4,daily_normal,night,7
5,daily_normal,night,7
6,daily_normal,night,7
7,daily_normal,night,7
8,daily_normal,night,7
9,daily_normal,night,8
10,daily_normal,night,7
11,daily_normal,night,8
12,daily_normal,night,7
13,daily_normal,night,7
14,daily_normal,night,7
15,daily_normal,night,8
16,daily_normal,night,8
17,daily_normal,night,8
18,daily_normal,night,8
19,daily_normal,night,8
20,daily_normal,night,8
21,daily_normal,night,8
22,daily_normal,night,8
23,daily_normal,night,8
24,daily_normal,night,8
25,daily_normal,night,9
26,daily_normal,night,8
27,daily_normal,night,9
28,daily_normal,night,9
29,daily_normal,night,8
30,daily_normal,night,8
31,daily_normal,night,9
32,daily_normal,night,9
33,daily_normal,night,9
34,daily_normal,night,8
35,daily_normal,night,9
36,daily_normal,night,9
37,daily_normal,night,9
38,daily_normal,night,9
39,daily_normal,night,9
40,daily_normal,night,9
41,daily_normal,night,9
42,daily_normal,night,9
43,daily_normal,night,9
44,daily_normal,night,9
45,daily_normal,night,9
46,daily_normal,night,9
47,daily_normal,night,10
48,daily_normal,night,10
49,daily_normal,night,9
50,daily_normal,night,10
51,daily_normal,night,10
52,daily_normal,night,10
53,daily_normal,night,10
54,daily_normal,night,10
55,daily_normal,night,10
56,daily_normal,night,10
57,daily_normal,night,10
58,daily_normal,night,9
59,daily_normal,night,10
60,daily_normal,morning_ramp,10
61,daily_normal,morning_ramp,10
62,daily_normal,morning_ramp,11
63,daily_normal,morning_ramp,11
64,daily_normal,morning_ramp,12
65,daily_normal,morning_ramp,11
66,daily_normal,morning_ramp,12
67,daily_normal,morning_ramp,13
68,daily_normal,morning_ramp,13
69,daily_normal,morning_ramp,14
70,daily_normal,morning_ramp,13
71,daily_normal,morning_ramp,13
72,daily_normal,morning_ramp,15
73,daily_normal,morning_ramp,15
74,daily_normal,morning_ramp,16
75,daily_normal,morning_ramp,15
76,daily_normal,morning_ramp,16
77,daily_normal,morning_ramp,15
78,daily_normal,morning_ramp,17
79,daily_normal,morning_ramp,17
80,daily_normal,morning_ramp,17
81,daily_normal,morning_ramp,17
