second,phase,offered_rps,attempted,success,errors,error_rate,p50_ms,p95_ms,p99_ms,mean_ms,scheduler_lateness_p95_ms
0,night,35,35,35,0,0.0,31.54963199995109,87.41283740027939,143.67002202008706,46.2495524856422,1.9607985432230626
1,night,34,34,34,0,0.0,31.113702999846282,33.70529690005242,34.08216550001271,31.482761441111506,2.4963142297110608
2,night,37,37,37,0,0.0,31.392180999318953,32.30351139991399,32.40326436029136,31.418325702681024,1.2250008163391615
3,night,37,37,37,0,0.0,31.218957999954,31.839316399782547,33.7860524001735,31.29884867571122,1.3118123080857913
4,night,36,36,36,0,0.0,31.14080399973318,32.2677174999626,32.6644127999316,31.259720583294538,1.2187658612674568
5,night,37,37,37,0,0.0,31.151111999861314,33.05805900017731,33.58180300012464,31.405389973057222,1.2133261512644822
6,night,35,35,35,0,0.0,31.039174999932584,32.2932455001137,33.039527279961476,31.206018828509382,2.8677576716290782
7,night,36,36,36,0,0.0,31.05921299993497,32.784912250463094,35.1894679000452,31.339471000011244,1.251613972499399
8,night,36,36,36,0,0.0,31.075648500063835,32.192276500609296,32.985051250352626,31.191680527904786,1.2913744722027332
9,night,38,38,38,0,0.0,31.257268500212376,34.182598750385296,48.419009080353185,32.111191526406685,1.3290554606555813
10,night,36,36,36,0,0.0,31.075254500137817,32.306254249533595,32.98091124988787,31.21360283322853,1.2511742504557333
11,night,40,40,40,0,0.0,31.392793999657442,33.698814599529214,34.2707100098778,31.589646899965373,3.3345899002597434
12,night,36,36,36,0,0.0,31.165171999873564,33.27635024970732,34.599539699911475,31.470717472226777,1.2648416663978423
13,night,37,37,37,0,0.0,30.926121000447893,32.9816136001682,47.615546399792954,31.76547448657476,1.2393252807669342
14,night,37,37,37,0,0.0,31.114338999941538,33.32770920005715,38.47724104020018,31.515921162207558,1.2161489621576038
15,night,40,40,40,0,0.0,31.29454000008991,34.17144059962993,35.26964062985826,31.561190600018563,2.0296204501846655
16,night,39,39,39,0,0.0,31.341466999947443,34.02461890018458,36.25501124008223,31.640745512796013,3.2165014720703775
17,night,39,39,39,0,0.0,31.299121000301966,34.305578200201126,45.27653721983365,32.067553871829894,1.460036720527569
