second,phase,offered_rps,attempted,success,errors,error_rate,p50_ms,p95_ms,p99_ms,mean_ms,scheduler_lateness_p95_ms
0,base,83,83,83,0,0.0,31.47993799939286,86.34478920121182,87.28632351907436,40.47294218080095,1.181788092617353
1,base,80,80,80,0,0.0,31.39636149899161,32.8815414995006,34.55358413999417,31.577164500095023,1.1691661010445387
2,base,81,81,81,0,0.0,31.44575599981181,33.73853100129054,39.75382240059844,31.800839432064635,1.1887589025718626
3,base,82,82,82,0,0.0,31.292774000576173,32.941426448905986,34.822170729603386,31.45666999994208,1.1705208677085466
4,base,78,78,78,0,0.0,31.328637499427714,32.381814349992055,36.19507712945055,31.565896064024948,1.2260658966624762
5,base,77,77,77,0,0.0,31.505577000643825,33.219064000513754,37.3577726798976,31.73229607788229,1.2570827824674784
6,base,81,81,81,0,0.0,31.281337000109488,34.325040000112494,39.25194460025527,31.851267197599093,2.799569518174394
7,base,78,78,78,0,0.0,31.275488499886706,32.47310480001033,34.48396203129962,31.409532218066698,1.1823244784864075
8,base,79,79,79,0,0.0,31.49816000041028,34.03988709960686,43.62313878038549,31.813588544352996,1.2390700465402915
9,base,82,82,82,0,0.0,31.265419999726873,33.55623459901836,41.56251054044332,31.668531243933725,1.1996740997346933
10,base,82,82,82,0,0.0,31.14029400057916,32.05714759933471,36.01905000987242,31.349070597593155,1.1976060455708648
11,base,78,78,78,0,0.0,31.315737999648263,32.990030849578034,34.76346577041114,31.466596269148376,1.2439463019291006
12,base,77,77,77,0,0.0,31.234232999850065,33.4202540005208,45.513583278880056,31.76096390900482,1.6036069922847682
13,base,78,78,78,0,0.0,31.203065999761748,32.142126149483374,33.13436008986173,31.30992025643746,1.1982982869994885
14,base,82,82,82,0,0.0,31.471906499973556,33.28146424873921,36.20666077005806,31.74747680474489,1.1909537461178843
15,base,77,77,77,0,0.0,31.56718600075692,33.686255001157406,34.28772912091517,31.726259064991797,1.2045634721289389
16,base,78,78,78,0,0.0,31.714238500171632,33.71622169934199,40.50857887081294,32.09575955138578,3.1317173781644674
17,base,77,77,77,0,0.0,31.399978999615996,32.910374800121645,33.87597167929925,31.560988077961323,1.2729691712593196
18,base,78,78,78,0,0.0,31.421882499671483,33.64713995042621,35.68814256099361,31.691209589856346,1.1680512948260002
19,base,80,80,80,0,0.0,31.318915000156267,32.49795804858877,38.66393151021827,31.716575425161864,1.2180392518530425
20,base,78,78,78,0,0.0,31.415942999956314,32.48569539910022,33.39768880061456,31.456116910213986,1.1843930210488907
21,base,79,79,79,0,0.0,31.521846000032383,34.417580899753375,35.95221655938076,31.82266903779605,2.7007967482859367
22,base,81,81,81,0,0.0,31.24023400050646,33.26473999914015,35.70661999983714,31.4741876296062,1.1546855075721396
23,base,81,81,81,0,0.0,31.252437000148348,32.14582600048743,32.58499519979523,31.263019407493562,1.2014575186185539
24,base,79,79,79,0,0.0,31.53484600079537,34.36580519992276,36.54565374046796,31.736635303729333,1.1420869761423091
25,base,82,82,82,0,0.0,31.468120499994257,33.58029835053458,38.11276975027795,31.69450152434853,1.297893983337417
26,base,80,80,80,0,0.0,31.412767501024064,34.57000505113683,51.51730083001893,32.21460487511649,2.3156491001827817
27,base,82,82,82,0,0.0,31.449617499674787,32.45932199924937,35.442575790675605,31.603740841535732,1.1204508013179293
28,base,78,78,78,0,0.0,31.37974900073459,32.612548101042194,34.84897779944734,31.572689205252875,1.2126248988352017
29,base,79,79,79,0,0.0,31.422694999491796,34.03122779982368,42.18652287971052,31.989601607522133,1.1741550459191785
30,base,81,81,81,0,0.0,31.319155999881332,32.4524770003336,33.32594819949009,31.416397851730668,1.1969445440627169
31,base,83,83,83,0,0.0,31.208005000735284,34.25401279982907,35.9926469194761,31.655150397597595,2.430334840755678
32,base,81,81,81,0,0.0,31.274210999981733,33.357526001054794,42.62191340094434,31.763428654296238,1.2250252475496382
33,base,80,80,80,0,0.0,31.34746349951456,32.47020635017179,34.23068698042697,31.501844199988227,1.1739263016352197
34,base,78,78,78,0,0.0,31.462221500987653,32.66746834979131,33.24546231880959,31.545800538459353,1.2093765788449673
35,base,79,79,79,0,0.0,31.630401999791502,32.91354039993166,39.422014759038575,31.8809486961291,1.22150972365489
36,base,78,78,78,0,0.0,31.663967999520537,33.62123625001914,37.38519999005807,32.01192702563742,2.6395353462248754
37,base,83,83,83,0,0.0,31.42855099940789,32.62002020037471,35.46168483939257,31.62846586736079,1.157168894496863
38,base,82,82,82,0,0.0,31.411897999532812,32.92574914958095,46.06998204086264,31.956318024329935,1.159737490434054
39,base,83,83,83,0,0.0,31.270977000531275,32.26388860020961,35.57577048053649,31.433134903548865,1.2385176221869192
40,base,80,80,80,0,0.0,31.488828500187083,34.16117584993117,40.87847654898722,31.882754349953757,1.1604407505728886
41,base,81,81,81,0,0.0,31.482215999858454,33.213257000170415,34.448478800550234,31.579403814877296,3.0115293830021983
