second,phase,offered_rps,attempted,success,errors,error_rate,p50_ms,p95_ms,p99_ms,mean_ms,scheduler_lateness_p95_ms
0,high,514,514,513,1,0.0019455252918287938,817.8970794999714,1515.2031936997673,1616.2385104996338,823.3234764066033,2.4301267186274353
1,high,511,511,508,3,0.005870841487279843,2301.5702819998296,2961.2177240001074,3073.4757597001126,2286.340770487282,31.364462005967653
2,high,507,507,506,1,0.0019723865877712033,3764.0488240003833,4438.6221853997995,4514.921398480183,3766.621448820515,4.363434314336697
3,high,492,492,355,137,0.2784552845528455,5173.553637499936,5573.673586599898,5604.33733498021,5109.6944477683055,1.3018488716852514
4,high,495,495,0,495,1.0,5519.356845999937,5969.732006600179,5996.943479939919,5530.230306393912,1.3362060577037482
5,high,506,506,0,506,1.0,5522.533977499961,5986.459666999849,6027.418169799716,5518.42659671541,85.29874372845825
6,high,509,509,0,509,1.0,5669.204296999851,6099.453878199893,6136.537167439928,5621.210620666006,7.593205188277354
7,high,486,486,0,486,1.0,5484.248637500059,5957.998346499949,6010.257982099665,5500.7325283024675,9.311901073147055
8,high,490,490,0,490,1.0,5383.059672000172,5954.313036800136,6003.857831040082,5179.7063891326525,1.2860339980079516
9,high,512,512,0,512,1.0,5275.226892500086,5941.515498250055,5970.258315439964,4644.706489531243,86.5736694500583
10,high,489,489,0,489,1.0,4036.390228000073,5901.772119400175,5958.624636960158,3857.51870540492,5.168639330167951
11,high,505,505,0,505,1.0,2573.9389239997763,5888.79656020008,5925.535064800115,3098.4236091049565,43.43268515049205
12,high,495,495,0,495,1.0,2615.6577699998707,5873.947101500016,5932.972028420054,3160.581481634348,204.77244602448081
13,high,504,504,0,504,1.0,1659.0931025000373,5861.082228999976,5957.7329280002095,2601.5961703432563,10.553740604746087
14,high,511,511,0,511,1.0,3001.5526639999734,5891.181665000204,5977.328335199991,3174.9670633542137,5.820516141739063
15,high,502,502,0,502,1.0,4338.443805999987,5888.324925200208,5961.069117150223,3323.515254131481,11.792555554893621
16,high,497,497,0,497,1.0,4307.177958000011,5927.753219199894,5985.142494280026,3420.58298340039,5.024026755290833
17,high,495,495,0,495,1.0,5141.513376000148,5930.074757600096,5995.302816099747,3790.614193002019,4.537630164759322
18,high,504,504,0,504,1.0,5106.143286000133,5929.235369100115,5983.667435960002,3880.173227807537,47.30539804911591
