relative_second,timestamp_utc,current_replicas,desired_replicas,ready_replicas,available_replicas,hpa_cpu_percent,actual_cpu_cores,actual_memory_gib,requested_cpu_cores,requested_memory_gib,scale_direction,collector_error
0.000313894000100845,2026-09-02T11:00:41.439362+00:00,1,1,1,1,0.0,0.000554604,0.050457000732421875,2.0,2.0,,
5.0024496799997,2026-09-02T11:00:46.425031+00:00,1,1,1,1,0.0,0.000554604,0.050457000732421875,2.0,2.0,,
10.003560840999853,2026-09-02T11:00:51.364258+00:00,1,1,1,1,0.0,0.000554604,0.050457000732421875,2.0,2.0,,
15.004583920999721,2026-09-02T11:00:56.380496+00:00,1,1,1,1,0.0,0.000554604,0.050457000732421875,2.0,2.0,,
20.004976055000043,2026-09-02T11:01:01.440497+00:00,1,1,1,1,0.0,0.000677125,0.050457000732421875,2.0,2.0,,
25.005418564000138,2026-09-02T11:01:06.399278+00:00,1,1,1,1,0.0,0.000677125,0.050457000732421875,2.0,2.0,,
30.006375887000104,2026-09-02T11:01:11.468424+00:00,1,1,1,1,0.0,0.000677125,0.050457000732421875,2.0,2.0,,
35.00753589099986,2026-09-02T11:01:16.381779+00:00,1,1,1,1,0.0,0.000677125,0.050457000732421875,2.0,2.0,,
40.00806732700039,2026-09-02T11:01:21.387694+00:00,1,1,1,1,0.0,0.000677125,0.050457000732421875,2.0,2.0,,
45.00831576600012,2026-09-02T11:01:26.370065+00:00,1,1,1,1,0.0,0.000677125,0.050457000732421875,2.0,2.0,,
50.00902193300044,2026-09-02T11:01:31.385001+00:00,1,1,1,1,0.0,0.373171376,0.051212310791015625,2.0,2.0,,
55.00976390899996,2026-09-02T11:01:36.424867+00:00,1,1,1,1,0.0,0.373171376,0.051212310791015625,2.0,2.0,,
60.01016892500047,2026-09-02T11:01:41.416523+00:00,1,1,1,1,0.0,0.373171376,0.051212310791015625,2.0,2.0,,
65.01082398000017,2026-09-02T11:01:46.374699+00:00,1,1,1,1,0.0,0.373171376,0.051212310791015625,2.0,2.0,,
70.01119805300004,2026-09-02T11:01:51.384693+00:00,1,1,1,1,23.0,0.373171376,0.051212310791015625,2.0,2.0,,
75.0118488019998,2026-09-02T11:01:56.383184+00:00,1,1,1,1,23.0,0.373171376,0.051212310791015625,2.0,2.0,,
80.01220992700019,2026-09-02T11:02:01.433441+00:00,1,1,1,1,23.0,0.459177703,0.051052093505859375,2.0,2.0,,
85.01261448399964,2026-09-02T11:02:06.396105+00:00,1,1,1,1,23.0,0.459177703,0.051052093505859375,2.0,2.0,,
90.01306519500031,2026-09-02T11:02:11.401851+00:00,1,1,1,1,23.0,0.459177703,0.051052093505859375,2.0,2.0,,
95.01331248600036,2026-09-02T11:02:16.381820+00:00,1,1,1,1,23.0,0.459177703,0.051052093505859375,2.0,2.0,,
100.01356101800047,2026-09-02T11:02:21.453532+00:00,1,1,1,1,23.0,0.459177703,0.051052093505859375,2.0,2.0,,
105.0143312729997,2026-09-02T11:02:26.532534+00:00,1,1,1,1,23.0,0.459177703,0.051052093505859375,2.0,2.0,,
110.01532290599971,2026-09-02T11:02:32.407510+00:00,1,1,1,1,23.0,0.718535246,0.051280975341796875,2.0,2.0,,
115.01587473400014,2026-09-02T11:02:36.439064+00:00,1,1,1,1,23.0,0.718535246,0.051280975341796875,2.0,2.0,,
120.01606988999993,2026-09-02T11:02:41.441203+00:00,1,1,1,1,23.0,0.718535246,0.051280975341796875,2.0,2.0,,
125.01644432300054,2026-09-02T11:02:46.395070+00:00,1,1,1,1,23.0,0.718535246,0.051280975341796875,2.0,2.0,,
130.01692525700037,2026-09-02T11:02:51.428501+00:00,1,2,1,1,79.0,0.718535246,0.051280975341796875,2.0,2.0,up,
135.0176514220002,2026-09-02T11:02:57.490359+00:00,2,2,1,1,79.0,0.718535246,0.051280975341796875,4.0,4.0,,
140.01870660399982,2026-09-02T11:03:01.423734+00:00,2,2,2,2,79.0,1.322263199,0.054828643798828125,4.0,4.0,,
145.01976809400003,2026-09-02T11:03:06.454885+00:00,2,2,2,2,79.0,1.322263199,0.054828643798828125,4.0,4.0,,
150.02068788999986,2026-09-02T11:03:11.441490+00:00,2,2,2,2,79.0,1.322263199,0.054828643798828125,4.0,4.0,,
155.02165571899968,2026-09-02T11:03:16.532519+00:00,2,2,2,2,79.0,1.322263199,0.054828643798828125,4.0,4.0,,
160.02172965299997,2026-09-02T11:03:21.421260+00:00,2,2,2,2,79.0,1.322263199,0.054828643798828125,4.0,4.0,,
165.02267299699997,2026-09-02T11:03:26.439074+00:00,2,2,2,2,79.0,1.322263199,0.054828643798828125,4.0,4.0,,
170.02367568200043,2026-09-02T11:03:31.462927+00:00,2,2,2,2,79.0,2.005205276,0.10593032836914062,4.0,4.0,,
175.02423497499967,2026-09-02T11:03:36.452917+00:00,2,2,2,2,79.0,2.005205276,0.10593032836914062,4.0,4.0,,
180.02542121900024,2026-09-02T11:03:41.579966+00:00,2,2,2,2,79.0,2.005205276,0.10593032836914062,4.0,4.0,,
185.02574978899975,2026-09-02T11:03:46.421281+00:00,2,2,2,2,79.0,2.005205276,0.10593032836914062,4.0,4.0,,
190.02638680699965,2026-09-02T11:03:51.789812+00:00,2,2,2,2,60.0,2.005205276,0.10593032836914062,4.0,4.0,,
195.02765929999987,2026-09-02T11:03:56.522878+00:00,2,2,2,2,60.0,2.005205276,0.10593032836914062,4.0,4.0,,
200.02791765100028,2026-09-02T11:04:01.516576+00:00,2,2,2,2,60.0,2.3622469070000003,0.1060943603515625,4.0,4.0,,
205.02843679600028,2026-09-02T11:04:06.550313+00:00,2,2,2,2,60.0,2.3622469070000003,0.1060943603515625,4.0,4.0,,
210.0295039980001,2026-09-02T11:04:11.505776+00:00,2,2,2,2,60.0,2.3622469070000003,0.1060943603515625,4.0,4.0,,
215.02997663400038,2026-09-02T11:04:16.439068+00:00,2,2,2,2,60.0,2.3622469070000003,0.1060943603515625,4.0,4.0,,
220.03088895699966,2026-09-02T11:04:21.564681+00:00,2,2,2,2,60.0,2.559354574,0.1094207763671875,4.0,4.0,,
225.03140634200008,2026-09-02T11:04:26.547314+00:00,2,2,2,2,60.0,2.559354574,0.1094207763671875,4.0,4.0,,
230.0321611139998,2026-09-02T11:04:31.492913+00:00,2,2,2,2,60.0,2.559354574,0.1094207763671875,4.0,4.0,,
235.03269454899964,2026-09-02T11:04:36.458633+00:00,2,2,2,2,60.0,2.559354574,0.1094207763671875,4.0,4.0,,
240.03298304200052,2026-09-02T11:04:41.538174+00:00,2,2,2,2,60.0,2.559354574,0.1094207763671875,4.0,4.0,,
245.03338385200004,2026-09-02T11:04:46.552392+00:00,2,2,2,2,60.0,2.559354574,0.1094207763671875,4.0,4.0,,
250.03344739600016,2026-09-02T11:04:53.404263+00:00,2,2,2,2,63.0,2.559354574,0.1094207763671875,4.0,4.0,,
255.03380687499975,2026-09-02T11:04:56.559167+00:00,2,2,2,2,63.0,2.419502153,0.10890960693359375,4.0,4.0,,
260.0345267700004,2026-09-02T11:05:01.461611+00:00,2,2,2,2,63.0,2.419502153,0.10890960693359375,4.0,4.0,,
265.03543893500046,2026-09-02T11:05:06.773668+00:00,2,2,2,2,63.0,2.419502153,0.10890960693359375,4.0,4.0,,
270.0358255050005,2026-09-02T11:05:12.498938+00:00,2,2,2,2,63.0,2.419502153,0.10890960693359375,4.0,4.0,,
275.0361690709997,2026-09-02T11:05:16.619441+00:00,2,2,2,2,63.0,2.419502153,0.10890960693359375,4.0,4.0,,
280.036587091,2026-09-02T11:05:21.433538+00:00,2,2,2,2,63.0,2.385512811,0.10935592651367188,4.0,4.0,,
285.0375378110002,2026-09-02T11:05:26.580573+00:00,2,2,2,2,63.0,2.385512811,0.10935592651367188,4.0,4.0,,
290.03804047799986,2026-09-02T11:05:31.439644+00:00,2,2,2,2,63.0,2.385512811,0.10935592651367188,4.0,4.0,,
295.0391668880002,2026-09-02T11:05:36.463474+00:00,2,2,2,2,63.0,2.385512811,0.10935592651367188,4.0,4.0,,
300.0403198900003,2026-09-02T11:05:41.528782+00:00,2,2,2,2,63.0,2.385512811,0.10935592651367188,4.0,4.0,,
305.0404302779998,2026-09-02T11:05:46.823559+00:00,2,2,2,2,58.0,2.385512811,0.10935592651367188,4.0,4.0,,
310.04069170300045,2026-09-02T11:05:51.832115+00:00,2,2,2,2,61.0,2.3816778000000003,0.1142578125,4.0,4.0,,
315.0415724069999,2026-09-02T11:05:56.486153+00:00,2,2,2,2,61.0,2.3816778000000003,0.1142578125,4.0,4.0,,
320.04266895,2026-09-02T11:06:01.553368+00:00,2,2,2,2,61.0,2.3816778000000003,0.1142578125,4.0,4.0,,
325.0436905710003,2026-09-02T11:06:07.623728+00:00,2,2,2,2,61.0,2.3816778000000003,0.1142578125,4.0,4.0,,
330.0438713040003,2026-09-02T11:06:11.612673+00:00,2,3,2,2,67.0,2.3816778000000003,0.1142578125,4.0,4.0,up,
335.0450299410004,2026-09-02T11:06:16.729157+00:00,2,3,1,1,67.0,2.3816778000000003,0.1142578125,4.0,4.0,,
340.04619798800013,2026-09-02T11:06:21.511592+00:00,2,3,2,2,67.0,2.739435787,0.11465835571289062,4.0,4.0,,
345.04681473799974,2026-09-02T11:06:26.759611+00:00,3,3,3,3,67.0,2.739435787,0.11465835571289062,6.0,6.0,,
350.04714011299984,2026-09-02T11:06:31.724035+00:00,3,4,2,2,71.0,2.739435787,0.11465835571289062,6.0,6.0,up,
355.0474239570003,2026-09-02T11:06:36.588633+00:00,3,4,2,2,71.0,2.739435787,0.11465835571289062,6.0,6.0,,
360.0476704009998,2026-09-02T11:06:42.824832+00:00,4,4,3,3,71.0,2.739435787,0.11465835571289062,8.0,8.0,,
365.0478362720005,2026-09-02T11:06:47.551358+00:00,4,4,1,1,31.0,2.739435787,0.11465835571289062,8.0,8.0,,
370.04887944500024,2026-09-02T11:06:51.466914+00:00,4,4,2,2,31.0,3.1594060809999998,0.21537017822265625,8.0,8.0,,
375.04942976300026,2026-09-02T11:06:56.498096+00:00,4,4,2,2,31.0,3.1594060809999998,0.21537017822265625,8.0,8.0,,
380.0501258989998,2026-09-02T11:07:01.443722+00:00,4,4,2,2,31.0,3.1594060809999998,0.21537017822265625,8.0,8.0,,
385.05134996700053,2026-09-02T11:07:06.458981+00:00,4,4,3,3,31.0,3.1594060809999998,0.21537017822265625,8.0,8.0,,
390.0521574989998,2026-09-02T11:07:11.522548+00:00,4,4,3,3,31.0,3.1594060809999998,0.21537017822265625,8.0,8.0,,
395.0528477990001,2026-09-02T11:07:17.459256+00:00,4,4,3,3,51.0,3.1594060809999998,0.21537017822265625,8.0,8.0,,
400.05353320999984,2026-09-02T11:07:21.444184+00:00,4,4,3,3,51.0,3.332537091,0.1827545166015625,8.0,8.0,,
405.05422696200003,2026-09-02T11:07:27.522272+00:00,4,4,3,3,51.0,3.332537091,0.1827545166015625,8.0,8.0,,
410.0549689620002,2026-09-02T11:07:31.441592+00:00,4,4,4,4,37.0,3.332537091,0.1827545166015625,8.0,8.0,,
415.05535824399976,2026-09-02T11:07:36.793617+00:00,4,4,4,4,37.0,3.332537091,0.1827545166015625,8.0,8.0,,
420.05601959399974,2026-09-02T11:07:41.556826+00:00,4,4,4,4,37.0,3.332537091,0.1827545166015625,8.0,8.0,,
425.05705686300007,2026-09-02T11:07:46.596082+00:00,4,4,4,4,37.0,3.332537091,0.1827545166015625,8.0,8.0,,
430.05712547300027,2026-09-02T11:07:52.504935+00:00,4,4,4,4,45.0,3.1148832019999997,0.19789886474609375,8.0,8.0,,
435.05748114000016,2026-09-02T11:07:56.508640+00:00,4,4,4,4,45.0,3.1148832019999997,0.19789886474609375,8.0,8.0,,
440.05776746300035,2026-09-02T11:08:01.616125+00:00,4,4,4,4,45.0,3.1148832019999997,0.19789886474609375,8.0,8.0,,
445.0578819780003,2026-09-02T11:08:06.461696+00:00,4,4,4,4,37.0,3.1148832019999997,0.19789886474609375,8.0,8.0,,
450.0580804709998,2026-09-02T11:08:11.563680+00:00,4,4,4,4,37.0,3.1148832019999997,0.19789886474609375,8.0,8.0,,
455.05843560500034,2026-09-02T11:08:16.506932+00:00,4,4,4,4,37.0,3.1148832019999997,0.19789886474609375,8.0,8.0,,
460.05887850399995,2026-09-02T11:08:21.515598+00:00,4,4,4,4,37.0,3.1148832019999997,0.19789886474609375,8.0,8.0,,
465.0589815860003,2026-09-02T11:08:26.581868+00:00,4,4,4,4,37.0,3.1148832019999997,0.19789886474609375,8.0,8.0,,
470.05976060800003,2026-09-02T11:08:31.623974+00:00,4,4,4,4,37.0,2.831514117,0.19789886474609375,8.0,8.0,,
475.06004875300005,2026-09-02T11:08:36.944217+00:00,4,4,4,4,37.0,2.831514117,0.19789886474609375,8.0,8.0,,
480.06055631599975,2026-09-02T11:08:42.422502+00:00,4,4,4,4,37.0,2.831514117,0.19789886474609375,8.0,8.0,,
485.06064010800037,2026-09-02T11:08:54.123952+00:00,4,4,4,4,37.0,2.831514117,0.19789886474609375,8.0,8.0,,
493.3564793260002,2026-09-02T11:08:54.906895+00:00,4,4,4,4,37.0,2.831514117,0.19789886474609375,8.0,8.0,,
498.35706012100036,2026-09-02T11:08:59.807177+00:00,4,4,4,4,37.0,2.831514117,0.19789886474609375,8.0,8.0,,
503.35722263800017,2026-09-02T11:09:04.804503+00:00,4,4,4,4,46.0,3.031022905,0.200103759765625,8.0,8.0,,
508.35770779500035,2026-09-02T11:09:09.780262+00:00,4,4,4,4,46.0,3.031022905,0.200103759765625,8.0,8.0,,
513.3588162209999,2026-09-02T11:09:15.222326+00:00,4,4,4,4,46.0,3.031022905,0.200103759765625,8.0,8.0,,
518.3601326489998,2026-09-02T11:09:19.812090+00:00,4,4,3,3,46.0,3.031022905,0.200103759765625,8.0,8.0,,
523.3604876130003,2026-09-02T11:09:24.832918+00:00,4,4,1,1,46.0,3.031022905,0.200103759765625,8.0,8.0,,
528.3613111260001,2026-09-02T11:09:29.753955+00:00,4,4,2,2,46.0,3.031022905,0.200103759765625,8.0,8.0,,
533.3622283220002,2026-09-02T11:09:35.813773+00:00,4,4,1,1,46.0,3.8031615729999997,0.20566177368164062,8.0,8.0,,
538.3627328170005,2026-09-02T11:09:39.878060+00:00,4,4,1,1,42.0,3.8031615729999997,0.20566177368164062,8.0,8.0,,
543.3631657240003,2026-09-02T11:09:44.766756+00:00,4,4,0,0,17.0,3.8031615729999997,0.20566177368164062,8.0,8.0,,
548.3643393319999,2026-09-02T11:09:49.824529+00:00,4,4,0,0,17.0,3.8031615729999997,0.20566177368164062,8.0,8.0,,
553.3654641889998,2026-09-02T11:09:54.762370+00:00,4,4,0,0,7.0,3.8031615729999997,0.20566177368164062,8.0,8.0,,
558.3658383410002,2026-09-02T11:10:02.853675+00:00,4,4,1,1,7.0,1.288135698,0.17328643798828125,8.0,8.0,,
563.366087292,2026-09-02T11:10:04.976921+00:00,4,4,2,2,25.0,1.288135698,0.17328643798828125,8.0,8.0,,
568.3665862429998,2026-09-02T11:10:09.802982+00:00,4,4,3,3,32.0,1.288135698,0.17328643798828125,8.0,8.0,,
573.3667675690003,2026-09-02T11:10:15.152871+00:00,4,4,2,2,32.0,1.288135698,0.17328643798828125,8.0,8.0,,
578.3673989899999,2026-09-02T11:10:19.777013+00:00,4,4,3,3,15.0,1.288135698,0.17328643798828125,8.0,8.0,,
583.3678802710001,2026-09-02T11:10:24.762265+00:00,4,4,2,2,38.0,2.631419452,0.19495391845703125,8.0,8.0,,
588.3679911469999,2026-09-02T11:10:29.746669+00:00,4,4,3,3,38.0,2.631419452,0.19495391845703125,8.0,8.0,,
593.3689109380002,2026-09-02T11:10:34.782684+00:00,4,4,3,3,38.0,2.631419452,0.19495391845703125,8.0,8.0,,
598.3692902379998,2026-09-02T11:10:39.926286+00:00,4,4,3,3,38.0,2.631419452,0.19495391845703125,8.0,8.0,,
603.3705349379998,2026-09-02T11:10:44.897487+00:00,4,4,4,4,38.0,2.631419452,0.19495391845703125,8.0,8.0,,
608.3759612510003,2026-09-02T11:10:49.785049+00:00,4,4,4,4,29.0,2.631419452,0.19495391845703125,8.0,8.0,,
613.3809268000005,2026-09-02T11:10:54.766066+00:00,4,4,4,4,29.0,1.942493185,0.193695068359375,8.0,8.0,,
618.3856998720003,2026-09-02T11:10:59.760043+00:00,4,4,4,4,29.0,1.942493185,0.193695068359375,8.0,8.0,,
623.3906521930003,2026-09-02T11:11:04.752654+00:00,4,4,4,4,8.0,1.942493185,0.193695068359375,8.0,8.0,,
628.3953172359998,2026-09-02T11:11:09.759740+00:00,4,4,4,4,8.0,1.942493185,0.193695068359375,8.0,8.0,,
