second,phase,offered_rps,attempted,success,errors,error_rate,p50_ms,p95_ms,p99_ms,mean_ms,scheduler_lateness_p95_ms
0,high,514,514,501,13,0.02529182879377432,776.5529270000116,4708.563396450063,5689.469180190554,1013.2153137062271,1.4647269999841228
1,high,511,511,463,48,0.09393346379647749,2220.0963550003507,5684.225581499959,5963.117806400442,2833.9952781507004,2.3048723669489846
2,high,507,507,378,129,0.25443786982248523,4983.093895998536,5761.9173932997,5946.032804098941,4987.551937157693,1.1024154440747225
3,high,492,492,0,492,1.0,5510.835072000191,5961.614664600529,6002.5823779487655,5510.9354485731365,1.1518018171045696
4,high,495,495,0,495,1.0,5523.9366900004825,5975.525360099346,6015.180111360751,5509.776389325237,16.529075166909045
5,high,506,506,20,486,0.9604743083003953,5511.597229500694,5955.846092750107,6009.71529264898,5505.465888448554,1.9247637405896967
6,high,509,509,10,499,0.9803536345776032,5518.105568000465,5945.840211399263,5999.092194520417,5495.252321137509,1.1009403471689438
7,high,486,486,0,486,1.0,5524.226317000284,5960.533656750613,6000.917566701082,5513.416373617257,48.38987909943171
8,high,490,490,0,490,1.0,5526.7014129995005,5960.145432851186,5985.561400390234,5515.075267338736,1.2579203211316785
9,high,512,512,0,512,1.0,5525.392433499292,5964.568715149835,5999.892711209668,5519.787029107444,1.1582912507947185
10,high,489,489,0,489,1.0,5521.644297999956,5961.646229399776,5979.800801599631,5496.713071680909,85.78347743496128
11,high,505,505,0,505,1.0,5521.345675999328,5963.0431988000055,5975.818284920679,5507.223016570248,1.6803711874672485
12,high,495,495,0,495,1.0,5520.8203780002805,5962.204179899527,5972.394350339637,5500.467042961593,60.58060700088392
13,high,504,504,0,504,1.0,5501.811433500734,5963.68555750114,5982.071539639019,5496.588119781744,1.1970589307566117
14,high,511,511,0,511,1.0,5494.788455998787,5961.098638500516,5981.325695300984,5478.33024702935,1.1934160738746868
15,high,502,502,0,502,1.0,5463.145460000305,5960.579606049487,5974.787166450769,5350.637594846622,74.00790169403989
16,high,497,497,0,497,1.0,5410.790128998997,5945.882983598858,5980.081598801262,5175.446011265548,1.2104164274205687
17,high,495,495,0,495,1.0,5378.265686000304,5950.707301198599,5981.326645861191,5151.604798763631,78.90333204868514
18,high,504,504,0,504,1.0,5123.210350498994,5837.765258950094,5968.1723114703345,3091.470732434515,1.429579824707617
19,high,504,504,0,504,1.0,18.872305499826325,5778.307206499721,5872.025889240413,1351.1973805496182,65.24526829016399
20,high,497,497,0,497,1.0,18.936901999040856,5816.910164400542,5953.351987199931,1453.7817583380163,2.1293050598615038
