second,phase,rps
0,night_low,36
1,night_low,32
2,night_low,34
3,night_low,34
4,night_low,37
5,night_low,36
6,night_low,38
7,night_low,33
8,night_low,35
9,night_low,33
10,night_low,34
11,night_low,36
12,night_low,33
13,night_low,34
14,night_low,37
15,night_low,36
16,night_low,34
17,night_low,37
18,night_low,38
19,night_low,33
20,night_low,38
21,night_low,37
22,night_low,35
23,night_low,34
24,night_low,39
25,night_low,36
26,night_low,34
27,night_low,34
28,night_low,39
29,night_low,37
30,night_low,39
31,night_low,38
32,night_low,37
33,night_low,40
34,night_low,36
35,night_low,38
36,night_low,39
37,night_low,38
38,night_low,40
39,night_low,38
40,night_low,39
41,night_low,35
42,night_low,36
43,night_low,36
44,night_low,35
45,night_low,36
46,night_low,35
47,night_low,37
48,night_low,39
49,night_low,37
50,night_low,37
51,night_low,36
52,night_low,37
53,night_low,41
54,night_low,39
55,night_low,39
56,night_low,36
57,night_low,40
58,night_low,37
59,night_low,38
60,night_low,42
61,night_low,40
62,night_low,39
63,night_low,40
64,night_low,41
65,night_low,41
66,night_low,37
67,night_low,36
68,night_low,38
69,night_low,38
70,night_low,38
71,night_low,42
72,night_low,42
73,night_low,38
74,night_low,41
75,night_low,39
76,night_low,42
77,night_low,40
78,night_low,38
79,night_low,38
80,night_low,40
81,night_low,39
82,night_low,41
83,night_low,43
84,night_low,40
85,night_low,39
86,night_low,44
87,night_low,41
88,night_low,38
89,night_low,38
90,night_low,38
91,night_low,42
92,night_low,43
93,night_low,40
94,night_low,38
95,night_low,40
96,night_low,44
97,night_low,41
98,night_low,44
99,night_low,44
100,night_low,38
101,night_low,43
102,night_low,43
103,night_low,42
104,night_low,40
105,night_low,43
106,night_low,39
107,night_low,41
108,night_low,41
109,night_low,45
110,night_low,44
111,night_low,40
112,night_low,42
113,night_low,40
114,night_low,45
115,night_low,45
116,night_low,41
117,night_low,43
118,night_low,43
119,night_low,40
120,night_low,44
121,night_low,43
122,night_low,45
123,night_low,43
124,night_low,39
125,night_low,42
126,night_low,40
127,night_low,46
128,night_low,46
129,night_low,45
130,night_low,42
131,night_low,40
132,night_low,46
133,night_low,46
134,night_low,41
135,night_low,43
136,night_low,41
137,night_low,45
138,night_low,46
139,night_low,41
140,night_low,44
141,night_low,44
142,night_low,42
143,night_low,47
144,night_low,43
145,night_low,42
146,night_low,44
147,night_low,46
148,night_low,42
149,night_low,43
150,night_low,48
151,night_low,46
152,night_low,44
153,night_low,45
154,night_low,42
155,night_low,43
156,night_low,44
157,night_low,45
158,night_low,43
159,night_low,43
160,night_low,42
161,night_low,46
162,night_low,43
163,night_low,48
164,night_low,48
165,night_low,42
166,night_low,44
167,night_low,47
168,night_low,43
169,night_low,43
170,night_low,49
171,night_low,46
172,night_low,46
173,night_low,48
174,night_low,48
175,night_low,44
176,night_low,43
177,night_low,46
178,night_low,46
179,night_low,46
180,night_low,48
181,night_low,48
182,night_low,50
183,night_low,43
184,night_low,46
185,night_low,45
186,night_low,49
187,night_low,45
188,night_low,44
189,night_low,46
190,night_low,46
191,night_low,45
192,night_low,45
193,night_low,50
194,night_low,47
195,night_low,50
196,night_low,48
197,night_low,44
198,night_low,51
199,night_low,50
200,night_low,51
201,night_low,51
202,night_low,50
203,night_low,45
204,night_low,48
205,night_low,46
206,night_low,47
207,night_low,45
208,night_low,47
209,night_low,52
210,night_low,46
211,night_low,50
212,night_low,48
213,night_low,48
214,night_low,52
215,night_low,52
216,night_low,49
217,night_low,50
218,night_low,46
219,night_low,47
220,night_low,52
221,night_low,49
222,night_low,49
223,night_low,51
224,night_low,46
225,night_low,50
226,night_low,49
227,night_low,52
228,night_low,47
229,night_low,53
230,night_low,46
231,night_low,47
232,night_low,50
233,night_low,51
234,night_low,48
235,night_low,47
236,night_low,53
237,night_low,48
238,night_low,51
239,night_low,51
240,morning_ramp,49
241,morning_ramp,52
242,morning_ramp,53
243,morning_ramp,59
244,morning_ramp,52
245,morning_ramp,59
246,morning_ramp,55
247,morning_ramp,59
248,morning_ramp,63
249,morning_ramp,60
250,morning_ramp,62
251,morning_ramp,69
252,morning_ramp,61
253,morning_ramp,68
254,morning_ramp,76
255,morning_ramp,78
256,morning_ramp,66
257,morning_ramp,70
258,morning_ramp,72
259,morning_ramp,83
260,morning_ramp,84
261,morning_ramp,85
262,morning_ramp,79
263,morning_ramp,77
264,morning_ramp,89
265,morning_ramp,88
266,morning_ramp,88
267,morning_ramp,96
268,morning_ramp,92
269,morning_ramp,82
270,morning_ramp,98
271,morning_ramp,90
272,morning_ramp,98
273,morning_ramp,105
274,morning_ramp,90
275,morning_ramp,91
276,morning_ramp,92
277,morning_ramp,103
278,morning_ramp,98
279,morning_ramp,107
280,morning_ramp,110
281,morning_ramp,101
282,morning_ramp,112
283,morning_ramp,105
284,morning_ramp,111
285,morning_ramp,122
286,morning_ramp,122
287,morning_ramp,106
288,morning_ramp,115
289,morning_ramp,113
290,morning_ramp,108
291,morning_ramp,128
292,morning_ramp,126
293,morning_ramp,118
294,morning_ramp,131
295,morning_ramp,128
296,morning_ramp,126
297,morning_ramp,117
298,morning_ramp,120
299,morning_ramp,143
300,morning_ramp,145
